"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 06:43:51 EDT 2023","Sat Apr 01 06:44:05 EDT 2023","14266","","Sign Up","","","","Verify rewards form is empty and Conitnue button is disabled",""
"passed","Sat Apr 01 06:43:50 EDT 2023","Sat Apr 01 06:44:05 EDT 2023","14987","","Sign Up","","","","Verify rewards form is empty and Conitnue button is disabled",""
